N,T,pk,pm,fx
80,60,0.7,0.0001,1.9291400000000005
30,60,0.75,0.0001,1.75002
35,60,0.75,0.0001,1.7626400000000007
40,60,0.75,0.0001,1.8405499999999997
45,60,0.75,0.0001,1.8639399999999997
50,60,0.75,0.0001,1.85732
55,60,0.75,0.0001,1.8811899999999995
60,60,0.75,0.0001,1.91853
65,60,0.75,0.0001,1.8992300000000006
70,60,0.75,0.0001,1.9341799999999998
75,60,0.75,0.0001,1.9282000000000001
80,60,0.75,0.0001,1.9309599999999998
30,60,0.8,0.0001,1.75325
35,60,0.8,0.0001,1.798890000000001
40,60,0.8,0.0001,1.80651
45,60,0.8,0.0001,1.82628
50,60,0.8,0.0001,1.8742199999999998
55,60,0.8,0.0001,1.9031300000000004
60,60,0.8,0.0001,1.9065200000000004
65,60,0.8,0.0001,1.9148199999999995
70,60,0.8,0.0001,1.90813
75,60,0.8,0.0001,1.9466799999999997
80,60,0.8,0.0001,1.9436499999999999
30,60,0.85,0.0001,1.7320900000000001
35,60,0.85,0.0001,1.81481
40,60,0.85,0.0001,1.8006899999999997
45,60,0.85,0.0001,1.8682199999999998
50,60,0.85,0.0001,1.8898
55,60,0.85,0.0001,1.8979999999999995
60,60,0.85,0.0001,1.9214399999999998
65,60,0.85,0.0001,1.90357
70,60,0.85,0.0001,1.9208099999999997
75,60,0.85,0.0001,1.9262699999999997
80,60,0.85,0.0001,1.94553
30,60,0.9,0.0001,1.7886199999999999
35,60,0.9,0.0001,1.8225200000000001
40,60,0.9,0.0001,1.8658699999999993
45,60,0.9,0.0001,1.8430799999999996
50,60,0.9,0.0001,1.8839500000000005
55,60,0.9,0.0001,1.87863
60,60,0.9,0.0001,1.9315600000000006
65,60,0.9,0.0001,1.92228
70,60,0.9,0.0001,1.93695
75,60,0.9,0.0001,1.9500999999999997
80,60,0.9,0.0001,1.9468499999999997
30,60,0.5,0.0005,1.7297500000000008
35,60,0.5,0.0005,1.7644600000000006
40,60,0.5,0.0005,1.80403
45,60,0.5,0.0005,1.8413500000000012
50,60,0.5,0.0005,1.8709300000000002
55,60,0.5,0.0005,1.860090000000001
60,60,0.5,0.0005,1.8956600000000003
65,60,0.5,0.0005,1.87755
70,60,0.5,0.0005,1.9060600000000008
75,60,0.5,0.0005,1.9281699999999993
80,60,0.5,0.0005,1.9237199999999999
30,60,0.55,0.0005,1.7475500000000006
35,60,0.55,0.0005,1.7798500000000006
40,60,0.55,0.0005,1.7814800000000002
45,60,0.55,0.0005,1.825270000000001
50,60,0.55,0.0005,1.8692000000000004
55,60,0.55,0.0005,1.8220900000000007
60,60,0.55,0.0005,1.8875099999999998
65,60,0.55,0.0005,1.9024600000000007
70,60,0.55,0.0005,1.9145799999999997
75,60,0.55,0.0005,1.9261200000000003
80,60,0.55,0.0005,1.9354700000000005
30,60,0.6,0.0005,1.78203
35,60,0.6,0.0005,1.7781100000000003
40,60,0.6,0.0005,1.7918999999999992
45,60,0.6,0.0005,1.8168300000000002
50,60,0.6,0.0005,1.8684200000000002
55,60,0.6,0.0005,1.8605900000000006
60,60,0.6,0.0005,1.9062800000000006
65,60,0.6,0.0005,1.9078500000000003
70,60,0.6,0.0005,1.90197
75,60,0.6,0.0005,1.9276200000000001
80,60,0.6,0.0005,1.93726
30,60,0.65,0.0005,1.7864499999999999
35,60,0.65,0.0005,1.8353200000000007
40,60,0.65,0.0005,1.8302200000000002
45,60,0.65,0.0005,1.8694500000000005
